iter	Logloss
0	0.4094040454
1	0.311504527
2	0.2644340731
3	0.2456860162
4	0.2387028811
5	0.2332047977
6	0.2311005563
7	0.2285607791
8	0.227019234
9	0.2261013093
10	0.2257154936
11	0.2251601463
12	0.2248518713
13	0.2246555323
14	0.2243719058
15	0.2242116828
16	0.2239863472
17	0.2238688209
18	0.2237221612
19	0.2236579085
20	0.2235625623
21	0.2234048701
22	0.2232896745
23	0.2231139304
24	0.2230193051
25	0.222839412
26	0.2226943451
27	0.2225536432
28	0.2224754723
29	0.2223887708
30	0.2223122173
31	0.222227161
32	0.2221354362
33	0.2220399333
34	0.2219846208
35	0.221899967
36	0.2218164278
37	0.2217064029
38	0.221624538
39	0.2215288714
40	0.2214265426
41	0.2213577441
42	0.2212527145
43	0.2211567169
44	0.2209909505
45	0.2208627444
46	0.2207984742
47	0.2207049346
48	0.2206052635
49	0.220507712
50	0.2204418418
51	0.2203684463
52	0.2202588652
53	0.2201609892
54	0.2200623036
55	0.219983278
56	0.2198874418
57	0.2198002644
58	0.2197087864
59	0.2196017367
60	0.2195356297
61	0.2194292806
62	0.2193760967
63	0.2192828184
64	0.2192175901
65	0.2191641933
66	0.2190883372
67	0.2190087031
68	0.2189373405
69	0.2188780567
70	0.218799473
71	0.2187360725
72	0.2186810648
73	0.2186113694
74	0.2185343449
75	0.2184445776
76	0.2183673522
77	0.2182904358
78	0.2182292337
79	0.2181835174
80	0.2181139253
81	0.2180498351
82	0.2179744684
83	0.2179188068
84	0.2178660916
85	0.2178033913
86	0.2177265123
87	0.2176716912
88	0.2175834038
89	0.2174928003
90	0.217446578
91	0.2173887645
92	0.217323826
93	0.2172571196
94	0.2171922671
95	0.2171416081
96	0.2170566186
97	0.2169758541
98	0.2169179565
99	0.2168588194
100	0.2167839742
101	0.2167096258
102	0.2166354079
103	0.2165612816
104	0.2164890966
105	0.2164288881
106	0.2163813284
107	0.2163187844
108	0.2162214467
109	0.2161434399
110	0.2160688485
111	0.2160056937
112	0.2159170746
113	0.2158514062
114	0.2157658586
115	0.2156903056
116	0.2156366433
117	0.215572652
118	0.2155044133
119	0.2154673229
120	0.2153924138
121	0.2153254486
122	0.2152610189
123	0.2151942285
124	0.2151569367
125	0.2151031398
126	0.2150383738
127	0.2149679557
128	0.214912075
129	0.2148575045
130	0.2147987692
131	0.2147372941
132	0.2146928343
133	0.214634367
134	0.2145899561
135	0.21452351
136	0.2144698051
137	0.2144188648
138	0.2143461348
139	0.2143412519
140	0.214297631
141	0.2142346295
142	0.2141733208
143	0.2140984719
144	0.2140424336
145	0.2139934423
146	0.2139454953
147	0.2138574755
148	0.2138092008
149	0.213745362
150	0.2136786665
151	0.2136443531
152	0.2135725923
153	0.2134870823
154	0.2134355321
155	0.2133836084
156	0.2133399875
157	0.2133026777
158	0.2132421271
159	0.2131742149
160	0.213110983
161	0.2130463649
162	0.2129883533
163	0.212923123
164	0.2128666705
165	0.2128037376
166	0.2127407007
167	0.2126763555
168	0.2126177584
169	0.2125561082
170	0.2125088941
171	0.2124411832
172	0.2124074243
173	0.212352942
174	0.2122818973
175	0.2122447073
176	0.2121881632
177	0.2121371814
178	0.2120625057
179	0.2120046626
180	0.2119423247
181	0.2119154494
182	0.2118628138
183	0.2118094291
184	0.2117397555
185	0.2116921131
186	0.2116310057
187	0.2115739833
188	0.2115150877
189	0.2114528191
190	0.2113808186
191	0.2113624604
192	0.2113148144
193	0.2112596796
194	0.2112116335
195	0.2111467203
196	0.2110779025
197	0.2110195544
198	0.2109658246
199	0.2109023296
200	0.2108517585
201	0.2107756286
202	0.2107373975
203	0.2106825083
204	0.2106304301
205	0.2105820669
206	0.210530967
207	0.210469557
208	0.2104265898
209	0.2103500893
210	0.2103036817
211	0.2102574822
212	0.2102004924
213	0.2101511823
214	0.2101039494
215	0.2100533017
216	0.2099927758
217	0.2099257287
218	0.2098755112
219	0.2098196678
220	0.209760934
221	0.2096830085
222	0.2096462268
223	0.2095995927
224	0.2095527916
225	0.209508914
226	0.2094521497
227	0.2094137107
228	0.2093889159
229	0.2093334416
230	0.2092841255
231	0.2092281977
232	0.2092036113
233	0.2091377663
234	0.2091077194
235	0.209062065
236	0.2089823763
237	0.2089384692
238	0.208899065
239	0.2088390841
240	0.2088064955
241	0.2087396122
242	0.2086827972
243	0.2086160927
244	0.2085800879
245	0.2085297382
246	0.208474833
247	0.2084207346
248	0.2083559433
249	0.208311004
250	0.2082586408
251	0.2082073544
252	0.2081729493
253	0.2081274269
254	0.2080864316
255	0.2080253239
256	0.2079775357
257	0.2079147638
258	0.2078706815
259	0.207834562
260	0.2077847109
261	0.2077211508
262	0.2076801963
263	0.2076384189
264	0.2075768218
265	0.2075201672
266	0.2074793648
267	0.2074245533
268	0.2073613472
269	0.2073032328
270	0.207238425
271	0.2071822867
272	0.2071392954
273	0.207092357
274	0.2070363437
275	0.2070017414
276	0.2069477338
277	0.2068957536
278	0.2068530868
279	0.2067685866
280	0.2067313914
281	0.2066591115
282	0.20663405
283	0.2065962082
284	0.2065615703
285	0.2065153597
286	0.2064588731
287	0.2064026635
288	0.2063550334
289	0.2063185559
290	0.206254572
291	0.2062002215
292	0.2061533504
293	0.2061011942
294	0.2060418139
295	0.205998405
296	0.2059752077
297	0.2059345364
298	0.2058793874
299	0.2058465799
