iter	Passed	Remaining
0	22	1080
1	42	1028
2	62	981
3	83	961
4	104	936
5	124	915
6	145	891
7	164	866
8	185	844
9	205	821
10	226	804
11	247	782
12	266	759
13	286	735
14	305	712
15	323	688
16	342	664
17	361	641
18	379	618
19	398	597
20	416	575
21	437	557
22	457	537
23	476	516
24	496	496
25	515	476
26	534	455
27	552	434
28	571	413
29	589	393
30	608	373
31	627	353
32	647	333
33	667	313
34	684	293
35	704	273
36	722	253
37	742	234
38	760	214
39	779	194
40	797	175
41	819	156
42	838	136
43	857	116
44	876	97
45	895	77
46	915	58
47	936	39
48	958	19
49	978	0
